GAS_LINES_TIMESERIES_1,GAS_LINES_TIMESERIES_2,GAS_LINES_TIMESERIES_3,DispatchGl
NJ,DE,20230906,0.0
NJ,DE,20230912,0.0
NJ,DE,20231005,0.0
NJ,DE,20231020,0.0
NJ,DE,20231129,0.0
NJ,DE,20231121,0.0
NJ,DE,20231228,0.0
NJ,DE,20231218,0.0
OR,CA,20230103,2353990.0
OR,CA,20230130,298045.9349168058
OR,CA,20230213,1749118.4451999872
OR,CA,20230216,1414230.266399987
OR,CA,20230306,2353990.0
OR,CA,20230315,2222598.9344548294
OR,CA,20230403,1645683.3245333296
OR,CA,20230410,2353990.0
OR,CA,20230530,2353990.0
OR,CA,20230517,2277207.8378162417
OR,CA,20230630,2353990.0
OR,CA,20230615,2353990.0
OR,CA,20230727,2353990.0
OR,CA,20230710,2353990.0
OR,CA,20230803,2353990.0
OR,CA,20230831,2353990.0
OR,CA,20230906,2353990.0
OR,CA,20230912,2343922.355691121
OR,CA,20231005,1645712.2860534422
OR,CA,20231020,1055130.854274935
OR,CA,20231129,267862.89030100324
OR,CA,20231121,609195.4112999999
OR,CA,20231228,2353990.0
OR,CA,20231218,1407606.2015788597
VA,MD,20230103,0.0
VA,MD,20230130,0.0
VA,MD,20230213,0.0
VA,MD,20230216,0.0
VA,MD,20230306,0.0
VA,MD,20230315,0.0
VA,MD,20230403,0.0
VA,MD,20230410,0.0
VA,MD,20230530,0.0
VA,MD,20230517,0.0
VA,MD,20230630,0.0
VA,MD,20230615,0.0
VA,MD,20230727,0.0
VA,MD,20230710,0.0
VA,MD,20230803,0.0
VA,MD,20230831,0.0
VA,MD,20230906,0.0
VA,MD,20230912,0.0
VA,MD,20231005,0.0
VA,MD,20231020,0.0
VA,MD,20231129,0.0
VA,MD,20231121,0.0
VA,MD,20231228,0.0
VA,MD,20231218,0.0
IN,MI,20230103,1238267.2152867403
IN,MI,20230130,571964.1735483245
IN,MI,20230213,305313.8961051656
IN,MI,20230216,529258.6231256131
IN,MI,20230306,778861.6645922
IN,MI,20230315,1452981.007326392
IN,MI,20230403,475274.46987326565
IN,MI,20230410,0.0
IN,MI,20230530,3742533.0
IN,MI,20230517,0.0
IN,MI,20230630,0.0
IN,MI,20230615,797293.3261354871
IN,MI,20230727,0.0
IN,MI,20230710,0.0
IN,MI,20230803,0.0
IN,MI,20230831,0.0
IN,MI,20230906,0.0
IN,MI,20230912,0.0
IN,MI,20231005,0.0
IN,MI,20231020,0.0
IN,MI,20231129,0.0
IN,MI,20231121,0.0
IN,MI,20231228,0.0
IN,MI,20231218,103878.89679239318
CA,NV,20230103,0.0
CA,NV,20230130,0.0
CA,NV,20230213,0.0
CA,NV,20230216,0.0
CA,NV,20230306,0.0
CA,NV,20230315,0.0
CA,NV,20230403,0.0
CA,NV,20230410,0.0
CA,NV,20230530,0.0
CA,NV,20230517,0.0
CA,NV,20230630,0.0
CA,NV,20230615,0.0
CA,NV,20230727,0.0
CA,NV,20230710,0.0
CA,NV,20230803,0.0
CA,NV,20230831,0.0
CA,NV,20230906,0.0
CA,NV,20230912,0.0
CA,NV,20231005,0.0
CA,NV,20231020,0.0
CA,NV,20231129,0.0
CA,NV,20231121,0.0
CA,NV,20231228,0.0
CA,NV,20231218,0.0
SD,NE,20230103,0.0
SD,NE,20230130,0.0
SD,NE,20230213,0.0
SD,NE,20230216,0.0
SD,NE,20230306,0.0
SD,NE,20230315,0.0
SD,NE,20230403,0.0
SD,NE,20230410,0.0
SD,NE,20230530,0.0
SD,NE,20230517,0.0
SD,NE,20230630,0.0
SD,NE,20230615,0.0
SD,NE,20230727,0.0
SD,NE,20230710,0.0
SD,NE,20230803,0.0
SD,NE,20230831,0.0
SD,NE,20230906,0.0
SD,NE,20230912,0.0
SD,NE,20231005,0.0
SD,NE,20231020,0.0
SD,NE,20231129,0.0
SD,NE,20231121,0.0
SD,NE,20231228,0.0
SD,NE,20231218,0.0
TN,MS,20230103,0.0
TN,MS,20230130,0.0
TN,MS,20230213,0.0
TN,MS,20230216,0.0
TN,MS,20230306,0.0
TN,MS,20230315,0.0
TN,MS,20230403,0.0
TN,MS,20230410,0.0
TN,MS,20230530,0.0
TN,MS,20230517,0.0
TN,MS,20230630,0.0
TN,MS,20230615,0.0
TN,MS,20230727,0.0
TN,MS,20230710,0.0
TN,MS,20230803,0.0
TN,MS,20230831,0.0
TN,MS,20230906,0.0
TN,MS,20230912,0.0
TN,MS,20231005,0.0
TN,MS,20231020,0.0
TN,MS,20231129,0.0
TN,MS,20231121,0.0
TN,MS,20231228,0.0
TN,MS,20231218,0.0
OR,WA,20230103,0.0
OR,WA,20230130,0.0
OR,WA,20230213,0.0
OR,WA,20230216,0.0
OR,WA,20230306,0.0
OR,WA,20230315,0.0
OR,WA,20230403,0.0
OR,WA,20230410,0.0
OR,WA,20230530,0.0
OR,WA,20230517,0.0
OR,WA,20230630,0.0
OR,WA,20230615,0.0
OR,WA,20230727,0.0
OR,WA,20230710,0.0
OR,WA,20230803,0.0
OR,WA,20230831,0.0
OR,WA,20230906,0.0
OR,WA,20230912,0.0
OR,WA,20231005,0.0
OR,WA,20231020,0.0
OR,WA,20231129,0.0
OR,WA,20231121,0.0
OR,WA,20231228,0.0
OR,WA,20231218,0.0
RI,CT,20230103,0.0
RI,CT,20230130,0.0
