load_zone,period,timepoint_label,Coal,Uranium,Naturalgas,Distillate,Hydrogen,Waste_biomass,Fuel,Electricity,Heat,Solar,Water,Wind,Batteries,Conventional Hydroelectric,Geothermal,Hydroelectric Pumped Storage,Offshore Wind Turbine,Onshore Wind Turbine,Small Hydroelectric,Solar Photovoltaic,distributed_generation,curtail_Electricity,curtail_Heat,curtail_Solar,curtail_Water,curtail_Wind,UnservedLoad,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
BASN,2023,202301,0.0002700268949730999,0,7962.295685787402,4.485148529449712e-05,0,28.633029855746322,0,0.001101106590307776,461.9395,114.2469241128432,824.7736555860279,250.87971824813206,0.001101106590307776,622.6552555930843,461.9395,0,0,250.87971824813206,202.11839999294352,0.0,114.2469241128432,935.7988988934096,0.0,7.588715679673896e-05,1866.9447444139714,0.0,2.2537349140824717e-06,9642.769929575124,0.0,675.2308536479886,10318,0.0007854749159674105,0.0,0.0,144.10308171129884,peak
BASN,2023,202301,8.97078602685006e-06,0,7783.307000582879,1.518897215881381e-06,0,28.63319405899214,0,4.8102215350275143e-05,461.93949999999995,1095.4616662730286,1232.801942694128,234.38878640041287,4.8102215350275143e-05,1030.6835427011845,461.93949999999995,0,0,234.38878640041287,202.11839999294352,731.2456688893323,364.2159973836965,935.7999518977846,5.684341886080802e-14,2.6163035045101424e-06,1458.9164573058715,0.0,7.659606097262636e-08,10836.532148601342,0.0,319.4678754434866,11156,2.411317826401402e-05,0.0,0.0,142.18010603047932,typical
BASN,2023,202301,0.00026220078054018276,0,2291.163099133205,4.4417979495978384e-05,0,28.63302667332669,0,0.0014460966150332281,461.9395,3162.6430882798004,605.8739815829904,213.05497929217455,0.0014460966150332281,403.7555815900468,461.9395,0,0,213.05497929217455,202.11839999294352,2689.334165496683,473.3089227831174,935.7985539033849,0.0,7.721688263018223e-05,2085.844418417009,0.0,2.2525924529041983e-06,6763.309427676872,0.0,4465.6912745399295,11229,0.0007044676879049326,0.0,0.0,141.83492858226245,peak
BASN,2023,202301,8.196455008005165e-06,0,737.2686225792935,1.472046752080215e-06,0,28.633193664090605,0,2.843953459300895e-05,461.9395,4435.061968647241,755.2616711139766,212.44969968000396,2.843953459300895e-05,553.1432711210331,461.9395,0,0,212.44969968000396,202.11839999294352,3903.340968647241,531.721,935.7999715604653,0.0,2.7681667233991902e-06,1936.4567288860226,-1.1368683772161603e-13,7.647089198169452e-08,6630.614693792642,0.0,4434.385344459901,11065,3.832894578733166e-05,0.0,0.0,134.39298242643306,typical
BASN,2023,202301,0.00023105588823894144,0,302.19562591586623,4.248262524096619e-05,0,28.63300959303229,0,0.000645351251467367,461.9395,5097.037949699452,202.12717152280797,395.76125382422345,0.000645351251467367,0.00877152986443624,461.9395,0,0,395.76125382422345,202.11839999294352,4618.574949699452,478.463,935.7993546487485,0.0,8.384804550587432e-05,2489.591228477191,-5.684341886080802e-14,2.247386687536653e-06,6487.695429445147,0.0,4457.30643126877,10945,0.001862959623214386,0.0,0.0,130.37179608327165,peak
BASN,2023,202301,7.835434582934936e-06,0,302.19981840133755,1.4481840323504557e-06,0,28.63319343070402,0,2.2136219429054302e-05,461.9395,5320.6137622755,426.27899030293685,757.2197666683052,2.2136219429054302e-05,224.16059030999332,461.9395,0,0,757.2197666683052,202.11839999294352,4855.0357622755,465.57800000000003,935.7999778637806,0.0,2.856704668374732e-06,2265.4394096970623,0.0,7.64043908426194e-08,7296.885062498623,0.0,3482.115000339546,10779,6.29165076462474e-05,0.0,0.0,130.22619050233993,typical
BASN,2023,202301,0.0002308011917509804,0,302.19502957362005,4.246686218767493e-05,0,28.633009451097507,0,0.000621039446292193,461.93941608119803,5430.74564352845,387.40830818522653,413.0687560651786,0.000621039446292193,185.289908192283,461.93941608119803,0,0,413.0687560651786,202.11839999294352,4869.818643528451,560.9269999999997,935.7993789605537,8.391880197677892e-05,1.2505552149377763e-12,2304.310091814773,1.7053025658242404e-13,2.2473297042939973e-06,7023.991057192271,0.0,3511.0110013553767,10535,0.0020607931628137733,0.0,0.0,130.4077741275509,peak
BASN,2023,202301,7.839297830961329e-06,0,302.1998000598776,1.4484502624779783e-06,0,28.63319343343573,0,2.1096903529443845e-05,461.9395000000004,5346.096866781064,390.0461367901983,552.4415265274183,2.1096903529443845e-05,187.9277367972548,461.9395000000004,0,0,552.4415265274183,202.11839999294352,4751.668866781064,594.4279999999999,935.7999789030964,-3.979039320256561e-13,1.0231815394945443e-12,2301.672263209801,2.8556920597111457e-06,7.640467422122614e-08,7081.357053976646,0.0,3294.6430172301057,10376,7.128030424411883e-05,0.0,0.0,130.27401134637702,typical
BASN,2023,202301,0.00023070704260608698,0,302.1948246497848,4.245981634336513e-05,0,28.633009374003322,0,0.0005090003628978008,461.93950000000007,4713.23586230613,202.1230033547715,676.7850665960477,0.0005090003628978008,0.004603361827966099,461.93950000000007,0,0,676.7850665960477,202.11839999294352,4305.21086230613,408.025,935.7994909996371,-5.684341886080802e-14,8.394067299377639e-05,2489.595396645228,1.1368683772161603e-13,2.247311314393568e-06,6384.912048447959,0.0,3831.093533783954,10216,0.005584477524642921,0.0,0.0,130.3567528123791,peak
BASN,2023,202301,8.265690865641894e-06,0,844.7655194663072,1.4764680459197069e-06,0,28.63319370467996,0,1.9514603230129276e-05,461.93949999999995,3583.0422895126403,202.11850870203253,550.8186914810262,1.9514603230129276e-05,0.00010870908900397551,461.93949999999995,0,0,550.8186914810262,202.11839999294352,3419.8322895126403,163.21,935.7999804853968,5.684341886080802e-14,2.7526525627763476e-06,2489.5998912979667,0.0,7.648183365126455e-08,5671.317732123448,0.0,4465.682345994353,10137,7.81910883271905e-05,0.0,0.0,135.14952979286144,typical
