GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
MISE_mi_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISE,Naturalgas,5517.4,0,.,0,6.42253e+07
MISE_mi_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISE,Naturalgas,743.7,0,.,0,1.22651e+07
MISE_mi_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISE,Naturalgas,427.7,0,.,0,5.73631e+06
MISE_mi_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISE,Naturalgas,3971.5,0,.,0,3.82381e+07
MISE_mi_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISE,Naturalgas,137.1,0,.,0,3.2904e+06
MISE_mi_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISE,Naturalgas,1853.5,0,.,0,5.89863e+07
MISS_ar_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,4392.1,0,.,0,4.91647e+07
MISS_ar_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,232,0,.,0,3.82614e+06
MISS_la_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,7852.3,0,.,0,8.518e+07
MISS_la_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,2020.6,0,.,0,2.88361e+07
MISS_ms_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,346.5,0,.,0,5.71448e+06
MISS_ms_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,2026.6,0,.,0,1.98343e+07
MISS_tx_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,1197.7,0,.,0,1.477e+07
MISS_tx_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,1793.6,0,.,0,2.18965e+07
MISS_ar_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,192,0,.,0,2.09875e+06
MISS_la_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,888.2,0,.,0,1.15908e+07
MISS_la_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,2288.8,0,.,0,2.32775e+07
MISS_ms_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,725,0,.,0,7.38197e+06
MISS_ms_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,211.2,0,.,0,2.48279e+06
MISS_tx_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,701.1,0,.,0,8.17183e+06
MISS_tx_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,533,0,.,0,4.88654e+06
MISS_la_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISS,Naturalgas,77.2,0,.,0,1.8528e+06
MISS_ms_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISS,Naturalgas,25.8,0,.,0,619200
MISS_tx_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISS,Naturalgas,4.8,0,.,0,115200
