GAS_ZONES_TIMESERIES_1,GAS_ZONES_TIMESERIES_2,LNGStorageQuantity
IL,20230306,0.0
IL,20230315,0.0
IL,20230403,0.0
IL,20230410,0.0
IL,20230530,0.0
IL,20230517,0.0
IL,20230630,0.0
IL,20230615,0.0
IL,20230727,0.0
IL,20230710,0.0
IL,20230803,0.0
IL,20230831,0.0
IL,20230906,0.0
IL,20230912,0.0
IL,20231005,0.0
IL,20231020,0.0
IL,20231129,0.0
IL,20231121,0.0
IL,20231228,0.0
IL,20231218,0.0
IN,20230103,0.0
IN,20230130,0.0
IN,20230213,0.0
IN,20230216,0.0
IN,20230306,0.0
IN,20230315,0.0
IN,20230403,0.0
IN,20230410,0.0
IN,20230530,0.0
IN,20230517,0.0
IN,20230630,0.0
IN,20230615,0.0
IN,20230727,0.0
IN,20230710,0.0
IN,20230803,0.0
IN,20230831,0.0
IN,20230906,0.0
IN,20230912,0.0
IN,20231005,0.0
IN,20231020,0.0
IN,20231129,0.0
IN,20231121,0.0
IN,20231228,0.0
IN,20231218,0.0
KS,20230103,0.0
KS,20230130,0.0
KS,20230213,0.0
KS,20230216,0.0
KS,20230306,0.0
KS,20230315,0.0
KS,20230403,0.0
KS,20230410,0.0
KS,20230530,0.0
KS,20230517,0.0
KS,20230630,0.0
KS,20230615,0.0
KS,20230727,0.0
KS,20230710,0.0
KS,20230803,0.0
KS,20230831,0.0
KS,20230906,0.0
KS,20230912,0.0
KS,20231005,0.0
KS,20231020,0.0
KS,20231129,0.0
KS,20231121,0.0
KS,20231228,0.0
KS,20231218,0.0
KY,20230103,0.0
KY,20230130,0.0
KY,20230213,0.0
KY,20230216,0.0
KY,20230306,0.0
KY,20230315,0.0
KY,20230403,0.0
KY,20230410,0.0
KY,20230530,0.0
KY,20230517,0.0
KY,20230630,0.0
KY,20230615,0.0
KY,20230727,0.0
KY,20230710,0.0
KY,20230803,0.0
KY,20230831,0.0
KY,20230906,0.0
KY,20230912,0.0
KY,20231005,0.0
KY,20231020,0.0
KY,20231129,0.0
KY,20231121,0.0
KY,20231228,0.0
KY,20231218,0.0
LA,20230103,0.0
LA,20230130,0.0
LA,20230213,0.0
LA,20230216,0.0
LA,20230306,0.0
LA,20230315,0.0
LA,20230403,0.0
LA,20230410,0.0
LA,20230530,0.0
LA,20230517,0.0
LA,20230630,0.0
LA,20230615,0.0
LA,20230727,0.0
LA,20230710,0.0
LA,20230803,0.0
LA,20230831,0.0
LA,20230906,0.0
LA,20230912,0.0
LA,20231005,0.0
LA,20231020,0.0
LA,20231129,0.0
LA,20231121,0.0
LA,20231228,0.0
LA,20231218,0.0
MA,20230103,0.0
MA,20230130,0.0
MA,20230213,0.0
MA,20230216,0.0
MA,20230306,0.0
MA,20230315,0.0
MA,20230403,0.0
MA,20230410,0.0
MA,20230530,0.0
MA,20230517,0.0
MA,20230630,0.0
MA,20230615,0.0
MA,20230727,0.0
MA,20230710,0.0
MA,20230803,0.0
MA,20230831,0.0
MA,20230906,0.0
MA,20230912,0.0
MA,20231005,0.0
MA,20231020,0.0
MA,20231129,0.0
MA,20231121,0.0
MA,20231228,0.0
MA,20231218,0.0
MD,20230103,0.0
MD,20230130,0.0
MD,20230213,0.0
MD,20230216,0.0
MD,20230306,0.0
MD,20230315,0.0
MD,20230403,0.0
MD,20230410,0.0
MD,20230530,0.0
MD,20230517,0.0
MD,20230630,0.0
MD,20230615,0.0
MD,20230727,0.0
MD,20230710,0.0
MD,20230803,0.0
MD,20230831,0.0
MD,20230906,0.0
MD,20230912,0.0
MD,20231005,0.0
MD,20231020,0.0
MD,20231129,0.0
MD,20231121,0.0
MD,20231228,0.0
MD,20231218,0.0
ME,20230103,0.0
ME,20230130,0.0
ME,20230213,0.0
ME,20230216,0.0
ME,20230306,0.0
ME,20230315,0.0
ME,20230403,0.0
ME,20230410,0.0
ME,20230530,0.0
ME,20230517,0.0
ME,20230630,0.0
ME,20230615,0.0
ME,20230727,0.0
ME,20230710,0.0
ME,20230803,0.0
ME,20230831,0.0
ME,20230906,0.0
ME,20230912,0.0
ME,20231005,0.0
ME,20231020,0.0
ME,20231129,0.0
ME,20231121,0.0
ME,20231228,0.0
ME,20231218,0.0
MI,20230103,0.0
MI,20230130,0.0
MI,20230213,0.0
MI,20230216,0.0
MI,20230306,0.0
MI,20230315,0.0
MI,20230403,0.0
MI,20230410,0.0
MI,20230530,0.0
MI,20230517,0.0
MI,20230630,0.0
MI,20230615,0.0
MI,20230727,0.0
MI,20230710,0.0
MI,20230803,0.0
MI,20230831,0.0
MI,20230906,0.0
MI,20230912,0.0
MI,20231005,0.0
MI,20231020,0.0
MI,20231129,0.0
MI,20231121,0.0
MI,20231228,0.0
MI,20231218,0.0
MN,20230103,0.0
MN,20230130,0.0
MN,20230213,0.0
MN,20230216,0.0
MN,20230306,0.0
MN,20230315,0.0
MN,20230403,0.0
MN,20230410,0.0
MN,20230530,0.0
MN,20230517,0.0
MN,20230630,0.0
MN,20230615,0.0
MN,20230727,0.0
MN,20230710,0.0
MN,20230803,0.0
MN,20230831,0.0
MN,20230906,0.0
MN,20230912,0.0
MN,20231005,0.0
MN,20231020,0.0
MN,20231129,0.0
MN,20231121,0.0
MN,20231228,0.0
MN,20231218,0.0
MO,20230103,0.0
MO,20230130,0.0
MO,20230213,0.0
MO,20230216,0.0
MO,20230306,0.0
MO,20230315,0.0
MO,20230403,0.0
MO,20230410,0.0
MO,20230530,0.0
MO,20230517,0.0
MO,20230630,0.0
MO,20230615,0.0
MO,20230727,0.0
MO,20230710,0.0
MO,20230803,0.0
MO,20230831,0.0
MO,20230906,0.0
MO,20230912,0.0
MO,20231005,0.0
MO,20231020,0.0
MO,20231129,0.0
MO,20231121,0.0
MO,20231228,0.0
MO,20231218,0.0
MS,20230103,0.0
MS,20230130,0.0
MS,20230213,0.0
MS,20230216,0.0
MS,20230306,0.0
MS,20230315,0.0
MS,20230403,0.0
MS,20230410,0.0
MS,20230530,0.0
MS,20230517,0.0
MS,20230630,0.0
MS,20230615,0.0
MS,20230727,0.0
MS,20230710,0.0
MS,20230803,0.0
MS,20230831,0.0
MS,20230906,0.0
MS,20230912,0.0
MS,20231005,0.0
MS,20231020,0.0
MS,20231129,0.0
MS,20231121,0.0
MS,20231228,0.0
MS,20231218,0.0
MT,20230103,0.0
MT,20230130,0.0
MT,20230213,0.0
MT,20230216,0.0
MT,20230306,0.0
MT,20230315,0.0
MT,20230403,0.0
MT,20230410,0.0
MT,20230530,0.0
MT,20230517,0.0
MT,20230630,0.0
MT,20230615,0.0
MT,20230727,0.0
MT,20230710,0.0
MT,20230803,0.0
MT,20230831,0.0
MT,20230906,0.0
MT,20230912,0.0
MT,20231005,0.0
MT,20231020,0.0
MT,20231129,0.0
MT,20231121,0.0
MT,20231228,0.0
MT,20231218,0.0
NC,20230103,0.0
NC,20230130,0.0
NC,20230213,0.0
NC,20230216,0.0
NC,20230306,0.0
NC,20230315,0.0
NC,20230403,0.0
NC,20230410,0.0
NC,20230530,0.0
NC,20230517,0.0
NC,20230630,0.0
NC,20230615,0.0
NC,20230727,0.0
NC,20230710,0.0
NC,20230803,0.0
NC,20230831,0.0
NC,20230906,0.0
NC,20230912,0.0
NC,20231005,0.0
NC,20231020,0.0
NC,20231129,0.0
NC,20231121,0.0
NC,20231228,0.0
NC,20231218,0.0
ND,20230103,0.0
ND,20230130,0.0
ND,20230213,0.0
ND,20230216,0.0
ND,20230306,0.0
ND,20230315,0.0
ND,20230403,0.0
ND,20230410,0.0
ND,20230530,0.0
ND,20230517,0.0
ND,20230630,0.0
ND,20230615,0.0
ND,20230727,0.0
ND,20230710,0.0
ND,20230803,0.0
ND,20230831,0.0
ND,20230906,0.0
ND,20230912,0.0
ND,20231005,0.0
ND,20231020,0.0
ND,20231129,0.0
ND,20231121,0.0
ND,20231228,0.0
ND,20231218,0.0
NE,20230103,0.0
NE,20230130,0.0
NE,20230213,0.0
NE,20230216,0.0
NE,20230306,0.0
NE,20230315,0.0
NE,20230403,0.0
NE,20230410,0.0
NE,20230530,0.0
NE,20230517,0.0
NE,20230630,0.0
NE,20230615,0.0
NE,20230727,0.0
NE,20230710,0.0
NE,20230803,0.0
NE,20230831,0.0
NE,20230906,0.0
NE,20230912,0.0
NE,20231005,0.0
NE,20231020,0.0
NE,20231129,0.0
NE,20231121,0.0
NE,20231228,0.0
NE,20231218,0.0
NH,20230103,0.0
NH,20230130,0.0
NH,20230213,0.0
NH,20230216,0.0
NH,20230306,0.0
NH,20230315,0.0
NH,20230403,0.0
NH,20230410,0.0
NH,20230530,0.0
NH,20230517,0.0
NH,20230630,0.0
NH,20230615,0.0
NH,20230727,0.0
NH,20230710,0.0
NH,20230803,0.0
NH,20230831,0.0
NH,20230906,0.0
NH,20230912,0.0
NH,20231005,0.0
NH,20231020,0.0
NH,20231129,0.0
NH,20231121,0.0
NH,20231228,0.0
NH,20231218,0.0
NJ,20230103,0.0
NJ,20230130,0.0
NJ,20230213,0.0
NJ,20230216,0.0
NJ,20230306,0.0
NJ,20230315,0.0
NJ,20230403,0.0
NJ,20230410,0.0
NJ,20230530,0.0
NJ,20230517,0.0
NJ,20230630,0.0
NJ,20230615,0.0
NJ,20230727,0.0
NJ,20230710,0.0
NJ,20230803,0.0
NJ,20230831,0.0
NJ,20230906,0.0
NJ,20230912,0.0
NJ,20231005,0.0
NJ,20231020,0.0
NJ,20231129,0.0
NJ,20231121,0.0
NJ,20231228,0.0
NJ,20231218,0.0
NM,20230103,0.0
NM,20230130,0.0
NM,20230213,0.0
NM,20230216,0.0
NM,20230306,0.0
NM,20230315,0.0
NM,20230403,0.0
NM,20230410,0.0
NM,20230530,0.0
NM,20230517,0.0
NM,20230630,0.0
NM,20230615,0.0
NM,20230727,0.0
NM,20230710,0.0
NM,20230803,0.0
NM,20230831,0.0
NM,20230906,0.0
NM,20230912,0.0
NM,20231005,0.0
NM,20231020,0.0
NM,20231129,0.0
NM,20231121,0.0
NM,20231228,0.0
NM,20231218,0.0
NV,20230103,0.0
NV,20230130,0.0
NV,20230213,0.0
NV,20230216,0.0
NV,20230306,0.0
NV,20230315,0.0
NV,20230403,0.0
NV,20230410,0.0
NV,20230530,0.0
NV,20230517,0.0
NV,20230630,0.0
NV,20230615,0.0
NV,20230727,0.0
NV,20230710,0.0
NV,20230803,0.0
NV,20230831,0.0
NV,20230906,0.0
NV,20230912,0.0
NV,20231005,0.0
NV,20231020,0.0
NV,20231129,0.0
NV,20231121,0.0
NV,20231228,0.0
NV,20231218,0.0
NY,20230103,0.0
NY,20230130,0.0
NY,20230213,0.0
NY,20230216,0.0
NY,20230306,0.0
NY,20230315,0.0
NY,20230403,0.0
NY,20230410,0.0
NY,20230530,0.0
NY,20230517,0.0
NY,20230630,0.0
NY,20230615,0.0
NY,20230727,0.0
NY,20230710,0.0
NY,20230803,0.0
NY,20230831,0.0
NY,20230906,0.0
NY,20230912,0.0
NY,20231005,0.0
NY,20231020,0.0
NY,20231129,0.0
NY,20231121,0.0
NY,20231228,0.0
NY,20231218,0.0
OH,20230103,0.0
OH,20230130,0.0
OH,20230213,0.0
OH,20230216,0.0
OH,20230306,0.0
OH,20230315,0.0
OH,20230403,0.0
OH,20230410,0.0
OH,20230530,0.0
OH,20230517,0.0
OH,20230630,0.0
OH,20230615,0.0
OH,20230727,0.0
OH,20230710,0.0
OH,20230803,0.0
OH,20230831,0.0
OH,20230906,0.0
OH,20230912,0.0
OH,20231005,0.0
OH,20231020,0.0
OH,20231129,0.0
OH,20231121,0.0
OH,20231228,0.0
OH,20231218,0.0
OK,20230103,0.0
OK,20230130,0.0
OK,20230213,0.0
OK,20230216,0.0
OK,20230306,0.0
OK,20230315,0.0
OK,20230403,0.0
OK,20230410,0.0
OK,20230530,0.0
OK,20230517,0.0
OK,20230630,0.0
OK,20230615,0.0
OK,20230727,0.0
OK,20230710,0.0
OK,20230803,0.0
OK,20230831,0.0
OK,20230906,0.0
OK,20230912,0.0
OK,20231005,0.0
OK,20231020,0.0
OK,20231129,0.0
OK,20231121,0.0
OK,20231228,0.0
OK,20231218,0.0
OR,20230103,0.0
OR,20230130,0.0
OR,20230213,0.0
OR,20230216,0.0
OR,20230306,0.0
OR,20230315,0.0
OR,20230403,0.0
OR,20230410,0.0
OR,20230530,0.0
OR,20230517,0.0
OR,20230630,0.0
OR,20230615,0.0
OR,20230727,0.0
OR,20230710,0.0
OR,20230803,0.0
OR,20230831,0.0
OR,20230906,0.0
OR,20230912,0.0
OR,20231005,0.0
OR,20231020,0.0
OR,20231129,0.0
OR,20231121,0.0
OR,20231228,0.0
OR,20231218,0.0
PA,20230103,0.0
PA,20230130,0.0
PA,20230213,0.0
PA,20230216,0.0
PA,20230306,0.0
PA,20230315,0.0
PA,20230403,0.0
PA,20230410,0.0
PA,20230530,0.0
PA,20230517,0.0
PA,20230630,0.0
PA,20230615,0.0
PA,20230727,0.0
PA,20230710,0.0
PA,20230803,0.0
PA,20230831,0.0
PA,20230906,0.0
PA,20230912,0.0
PA,20231005,0.0
PA,20231020,0.0
PA,20231129,0.0
PA,20231121,0.0
PA,20231228,0.0
PA,20231218,0.0
RI,20230103,0.0
RI,20230130,0.0
RI,20230213,0.0
RI,20230216,0.0
RI,20230306,0.0
RI,20230315,0.0
RI,20230403,0.0
RI,20230410,0.0
RI,20230530,0.0
RI,20230517,0.0
RI,20230630,0.0
RI,20230615,0.0
RI,20230727,0.0
RI,20230710,0.0
RI,20230803,0.0
RI,20230831,0.0
RI,20230906,0.0
RI,20230912,0.0
RI,20231005,0.0
RI,20231020,0.0
RI,20231129,0.0
RI,20231121,0.0
RI,20231228,0.0
RI,20231218,0.0
SC,20230103,0.0
SC,20230130,0.0
SC,20230213,0.0
SC,20230216,0.0
SC,20230306,0.0
SC,20230315,0.0
SC,20230403,0.0
SC,20230410,0.0
SC,20230530,0.0
SC,20230517,0.0
SC,20230630,0.0
SC,20230615,0.0
SC,20230727,0.0
SC,20230710,0.0
SC,20230803,0.0
SC,20230831,0.0
SC,20230906,0.0
SC,20230912,0.0
SC,20231005,0.0
SC,20231020,0.0
SC,20231129,0.0
SC,20231121,0.0
SC,20231228,0.0
SC,20231218,0.0
SD,20230103,0.0
SD,20230130,0.0
SD,20230213,0.0
SD,20230216,0.0
SD,20230306,0.0
SD,20230315,0.0
SD,20230403,0.0
SD,20230410,0.0
SD,20230530,0.0
SD,20230517,0.0
SD,20230630,0.0
SD,20230615,0.0
SD,20230727,0.0
SD,20230710,0.0
SD,20230803,0.0
SD,20230831,0.0
SD,20230906,0.0
SD,20230912,0.0
SD,20231005,0.0
SD,20231020,0.0
SD,20231129,0.0
SD,20231121,0.0
SD,20231228,0.0
SD,20231218,0.0
TN,20230103,0.0
TN,20230130,0.0
TN,20230213,0.0
TN,20230216,0.0
TN,20230306,0.0
TN,20230315,0.0
TN,20230403,0.0
TN,20230410,0.0
TN,20230530,0.0
TN,20230517,0.0
TN,20230630,0.0
TN,20230615,0.0
TN,20230727,0.0
TN,20230710,0.0
TN,20230803,0.0
TN,20230831,0.0
TN,20230906,0.0
TN,20230912,0.0
TN,20231005,0.0
TN,20231020,0.0
TN,20231129,0.0
TN,20231121,0.0
TN,20231228,0.0
TN,20231218,0.0
TX,20230103,0.0
TX,20230130,0.0
TX,20230213,0.0
TX,20230216,0.0
TX,20230306,0.0
TX,20230315,0.0
TX,20230403,0.0
TX,20230410,0.0
TX,20230530,0.0
TX,20230517,0.0
TX,20230630,0.0
TX,20230615,0.0
TX,20230727,0.0
TX,20230710,0.0
TX,20230803,0.0
TX,20230831,0.0
TX,20230906,0.0
TX,20230912,0.0
TX,20231005,0.0
TX,20231020,0.0
TX,20231129,0.0
TX,20231121,0.0
TX,20231228,0.0
TX,20231218,0.0
UT,20230103,0.0
UT,20230130,0.0
UT,20230213,0.0
UT,20230216,0.0
UT,20230306,0.0
UT,20230315,0.0
UT,20230403,0.0
UT,20230410,0.0
UT,20230530,0.0
UT,20230517,0.0
UT,20230630,0.0
UT,20230615,0.0
UT,20230727,0.0
UT,20230710,0.0
UT,20230803,0.0
UT,20230831,0.0
UT,20230906,0.0
UT,20230912,0.0
UT,20231005,0.0
UT,20231020,0.0
UT,20231129,0.0
UT,20231121,0.0
UT,20231228,0.0
UT,20231218,0.0
VA,20230103,0.0
VA,20230130,0.0
VA,20230213,0.0
VA,20230216,0.0
VA,20230306,0.0
VA,20230315,0.0
VA,20230403,0.0
VA,20230410,0.0
VA,20230530,0.0
VA,20230517,0.0
VA,20230630,0.0
VA,20230615,0.0
VA,20230727,0.0
VA,20230710,0.0
VA,20230803,0.0
VA,20230831,0.0
VA,20230906,0.0
VA,20230912,0.0
VA,20231005,0.0
VA,20231020,0.0
VA,20231129,0.0
VA,20231121,0.0
VA,20231228,0.0
VA,20231218,0.0
VT,20230103,0.0
VT,20230130,0.0
VT,20230213,0.0
VT,20230216,0.0
VT,20230306,0.0
VT,20230315,0.0
VT,20230403,0.0
VT,20230410,0.0
VT,20230530,0.0
VT,20230517,0.0
VT,20230630,0.0
VT,20230615,0.0
VT,20230727,0.0
VT,20230710,0.0
VT,20230803,0.0
VT,20230831,0.0
VT,20230906,0.0
VT,20230912,0.0
VT,20231005,0.0
VT,20231020,0.0
VT,20231129,0.0
VT,20231121,0.0
VT,20231228,0.0
VT,20231218,0.0
WA,20230103,0.0
WA,20230130,0.0
WA,20230213,0.0
WA,20230216,0.0
WA,20230306,0.0
WA,20230315,0.0
WA,20230403,0.0
WA,20230410,0.0
WA,20230530,0.0
WA,20230517,0.0
WA,20230630,0.0
WA,20230615,0.0
WA,20230727,0.0
WA,20230710,0.0
WA,20230803,0.0
WA,20230831,0.0
WA,20230906,0.0
WA,20230912,0.0
WA,20231005,0.0
WA,20231020,0.0
WA,20231129,0.0
WA,20231121,0.0
WA,20231228,0.0
WA,20231218,0.0
WI,20230103,0.0
WI,20230130,0.0
WI,20230213,0.0
WI,20230216,0.0
WI,20230306,0.0
WI,20230315,0.0
WI,20230403,0.0
WI,20230410,0.0
WI,20230530,0.0
WI,20230517,0.0
WI,20230630,0.0
WI,20230615,0.0
WI,20230727,0.0
WI,20230710,0.0
WI,20230803,0.0
WI,20230831,0.0
WI,20230906,0.0
WI,20230912,0.0
WI,20231005,0.0
WI,20231020,0.0
WI,20231129,0.0
WI,20231121,0.0
WI,20231228,0.0
WI,20231218,0.0
WV,20230103,0.0
WV,20230130,0.0
WV,20230213,0.0
WV,20230216,0.0
WV,20230306,0.0
WV,20230315,0.0
WV,20230403,0.0
WV,20230410,0.0
WV,20230530,0.0
WV,20230517,0.0
WV,20230630,0.0
WV,20230615,0.0
WV,20230727,0.0
WV,20230710,0.0
WV,20230803,0.0
WV,20230831,0.0
WV,20230906,0.0
WV,20230912,0.0
WV,20231005,0.0
WV,20231020,0.0
WV,20231129,0.0
WV,20231121,0.0
WV,20231228,0.0
WV,20231218,0.0
WY,20230103,0.0
WY,20230130,0.0
WY,20230213,0.0
WY,20230216,0.0
WY,20230306,0.0
WY,20230315,0.0
WY,20230403,0.0
WY,20230410,0.0
WY,20230530,0.0
WY,20230517,0.0
WY,20230630,0.0
WY,20230615,0.0
WY,20230727,0.0
WY,20230710,0.0
WY,20230803,0.0
WY,20230831,0.0
WY,20230906,0.0
WY,20230912,0.0
WY,20231005,0.0
WY,20231020,0.0
WY,20231129,0.0
WY,20231121,0.0
WY,20231228,0.0
WY,20231218,0.0
