load_zone,technology,period,capacity
MISW,Hydroelectric Pumped Storage_MWh,2023,0.0
MISW,Natural Gas Fired Combined Cycle,2023,8432.7
MISW,Natural Gas Fired Combustion Turbine,2023,8117.499999999999
MISW,Natural Gas Internal Combustion Engine,2023,774.5000000000001
MISW,Natural Gas Steam Turbine,2023,169.7
MISW,Nuclear,2023,2928.1
MISW,Offshore Wind Turbine,2023,0.0
MISW,Onshore Wind Turbine,2023,23540.999999999996
MISW,Petroleum Liquids,2023,1668.0999999999997
MISW,Small Hydroelectric,2023,531.0999999999999
MISW,Solar Photovoltaic,2023,2948.1
MISW,distributed_generation,2023,1019.0
MISW,hydro,2023,0.0
MISW,fuel cells,2023,0.0
NWPP,Batteries,2023,41.0
NWPP,Batteries_MWh,2023,143.4
NWPP,Biomass,2023,530.4000000000001
NWPP,Conventional Hydroelectric,2023,31942.499999999993
NWPP,Conventional Steam Coal,2023,2299.0
NWPP,Geothermal,2023,30.8
NWPP,Hydroelectric Pumped Storage,2023,314.0
NWPP,Hydroelectric Pumped Storage_MWh,2023,4867.0
NWPP,Natural Gas Fired Combined Cycle,2023,6915.200000000001
NWPP,Natural Gas Fired Combustion Turbine,2023,1342.9
NWPP,Natural Gas Internal Combustion Engine,2023,309.8
NWPP,Natural Gas Steam Turbine,2023,3.0
NWPP,Nuclear,2023,1172.0
NWPP,Offshore Wind Turbine,2023,0.0
NWPP,Onshore Wind Turbine,2023,8432.699999999999
NWPP,Petroleum Liquids,2023,21.3
NWPP,Small Hydroelectric,2023,770.6000000000001
NWPP,Solar Photovoltaic,2023,1525.7
NWPP,distributed_generation,2023,697.0
NWPP,hydro,2023,0.0
NWPP,fuel cells,2023,0.0
NYCW,Batteries,2023,19.3
NYCW,Batteries_MWh,2023,107.0
NYCW,Biomass,2023,124.69999999999999
NYCW,Conventional Hydroelectric,2023,0.0
NYCW,Conventional Steam Coal,2023,0.0
NYCW,Geothermal,2023,0.0
NYCW,Hydroelectric Pumped Storage,2023,0.0
NYCW,Hydroelectric Pumped Storage_MWh,2023,0.0
NYCW,Natural Gas Fired Combined Cycle,2023,4333.0
NYCW,Natural Gas Fired Combustion Turbine,2023,2114.0
NYCW,Natural Gas Internal Combustion Engine,2023,37.4
NYCW,Natural Gas Steam Turbine,2023,396.5
NYCW,Nuclear,2023,0.0
NYCW,Offshore Wind Turbine,2023,0.0
NYCW,Onshore Wind Turbine,2023,0.0
NYCW,Petroleum Liquids,2023,634.6999999999998
NYCW,Small Hydroelectric,2023,0.0
NYCW,Solar Photovoltaic,2023,157.29999999999998
NYCW,distributed_generation,2023,849.0
NYCW,hydro,2023,0.0
NYCW,fuel cells,2023,0.0
NYUP,Batteries,2023,170.0
NYUP,Batteries_MWh,2023,394.4
NYUP,Biomass,2023,304.79999999999995
NYUP,Conventional Hydroelectric,2023,3540.6
NYUP,Conventional Steam Coal,2023,0.0
NYUP,Geothermal,2023,0.0
NYUP,Hydroelectric Pumped Storage,2023,1406.7
NYUP,Hydroelectric Pumped Storage_MWh,2023,21803.85
NYUP,Natural Gas Fired Combined Cycle,2023,8402.6
NYUP,Natural Gas Fired Combustion Turbine,2023,57.6
NYUP,Natural Gas Internal Combustion Engine,2023,19.5
NYUP,Natural Gas Steam Turbine,2023,1838.4
NYUP,Nuclear,2023,3358.3
NYUP,Offshore Wind Turbine,2023,0.0
NYUP,Onshore Wind Turbine,2023,2746.3
NYUP,Petroleum Liquids,2023,75.49999999999999
NYUP,Small Hydroelectric,2023,736.9
NYUP,Solar Photovoltaic,2023,1467.9
NYUP,distributed_generation,2023,630.0
NYUP,hydro,2023,0.0
NYUP,fuel cells,2023,0.0
PJMC,Batteries,2023,95.8
PJMC,Batteries_MWh,2023,171.6
PJMC,Biomass,2023,55.2
PJMC,Conventional Hydroelectric,2023,0.8
PJMC,Conventional Steam Coal,2023,2646.0
PJMC,Geothermal,2023,0.0
PJMC,Hydroelectric Pumped Storage,2023,0.0
PJMC,Hydroelectric Pumped Storage_MWh,2023,0.0
PJMC,Natural Gas Fired Combined Cycle,2023,5038.4
PJMC,Natural Gas Fired Combustion Turbine,2023,8625.699999999999
PJMC,Natural Gas Internal Combustion Engine,2023,118.5
PJMC,Natural Gas Steam Turbine,2023,44.199999999999996
PJMC,Nuclear,2023,10898.1
PJMC,Offshore Wind Turbine,2023,0.0
PJMC,Onshore Wind Turbine,2023,4488.800000000001
PJMC,Petroleum Liquids,2023,55.3
PJMC,Small Hydroelectric,2023,25.3
PJMC,Solar Photovoltaic,2023,309.1
PJMC,distributed_generation,2023,316.0
PJMC,hydro,2023,0.0
PJMC,fuel cells,2023,0.0
PJMD,Batteries,2023,40.5
PJMD,Batteries_MWh,2023,74.6
PJMD,Biomass,2023,808.7
PJMD,Conventional Hydroelectric,2023,613.1
PJMD,Conventional Steam Coal,2023,913.5
PJMD,Geothermal,2023,0.0
PJMD,Hydroelectric Pumped Storage,2023,3003.0
PJMD,Hydroelectric Pumped Storage_MWh,2023,46546.5
PJMD,Natural Gas Fired Combined Cycle,2023,7901.3
PJMD,Natural Gas Fired Combustion Turbine,2023,4560.5
PJMD,Natural Gas Internal Combustion Engine,2023,2.3
PJMD,Natural Gas Steam Turbine,2023,20.299999999999997
PJMD,Nuclear,2023,3708.0
PJMD,Offshore Wind Turbine,2023,0.0
PJMD,Onshore Wind Turbine,2023,208.0
PJMD,Petroleum Liquids,2023,319.2999999999999
PJMD,Small Hydroelectric,2023,12.9
PJMD,Solar Photovoltaic,2023,4533.6
PJMD,distributed_generation,2023,363.0
PJMD,hydro,2023,0.0
PJMD,fuel cells,2023,0.0
PJME,Batteries,2023,107.00000000000001
PJME,Batteries_MWh,2023,145.5
PJME,Biomass,2023,784.0999999999999
PJME,Conventional Hydroelectric,2023,1213.9000000000003
PJME,Conventional Steam Coal,2023,9424.0
PJME,Geothermal,2023,0.0
PJME,Hydroelectric Pumped Storage,2023,1942.0
PJME,Hydroelectric Pumped Storage_MWh,2023,30101.0
PJME,Natural Gas Fired Combined Cycle,2023,28306.6
PJME,Natural Gas Fired Combustion Turbine,2023,5311.5
PJME,Natural Gas Internal Combustion Engine,2023,262.8
PJME,Natural Gas Steam Turbine,2023,2555.2
PJME,Nuclear,2023,12829.400000000001
PJME,Offshore Wind Turbine,2023,0.0
PJME,Onshore Wind Turbine,2023,1314.4
PJME,Petroleum Liquids,2023,738.6999999999999
PJME,Small Hydroelectric,2023,148.5
PJME,Solar Photovoltaic,2023,2089.2
PJME,distributed_generation,2023,4500.0
PJME,hydro,2023,0.0
PJME,fuel cells,2023,0.0
PJMW,Batteries,2023,97.3
PJMW,Batteries_MWh,2023,187.6
PJMW,Biomass,2023,163.70000000000002
PJMW,Conventional Hydroelectric,2023,884.8000000000002
PJMW,Conventional Steam Coal,2023,22722.2
PJMW,Geothermal,2023,0.0
PJMW,Hydroelectric Pumped Storage,2023,238.0
PJMW,Hydroelectric Pumped Storage_MWh,2023,3689.0
PJMW,Natural Gas Fired Combined Cycle,2023,19331.4
PJMW,Natural Gas Fired Combustion Turbine,2023,11611.1
PJMW,Natural Gas Internal Combustion Engine,2023,90.5
PJMW,Natural Gas Steam Turbine,2023,70.1
PJMW,Nuclear,2023,6326.0
PJMW,Offshore Wind Turbine,2023,0.0
PJMW,Onshore Wind Turbine,2023,4304.000000000001
PJMW,Petroleum Liquids,2023,217.70000000000007
PJMW,Small Hydroelectric,2023,288.8
PJMW,Solar Photovoltaic,2023,2361.1
PJMW,distributed_generation,2023,798.0
PJMW,hydro,2023,0.0
PJMW,fuel cells,2023,0.0
