GZ_STORAGE_TYPE_TIMESERIES_1,GZ_STORAGE_TYPE_TIMESERIES_2,GZ_STORAGE_TYPE_TIMESERIES_3,GasStorageQuantity
AZ,salt cavern,20231121,0.0
AZ,salt cavern,20231228,0.0
AZ,salt cavern,20231218,0.0
CA,aquifer,20230103,0.0
CA,aquifer,20230130,0.0
CA,aquifer,20230213,0.0
CA,aquifer,20230216,0.0
CA,aquifer,20230306,0.0
CA,aquifer,20230315,0.0
CA,aquifer,20230403,0.0
CA,aquifer,20230410,0.0
CA,aquifer,20230530,0.0
CA,aquifer,20230517,0.0
CA,aquifer,20230630,0.0
CA,aquifer,20230615,0.0
CA,aquifer,20230727,0.0
CA,aquifer,20230710,0.0
CA,aquifer,20230803,0.0
CA,aquifer,20230831,0.0
CA,aquifer,20230906,0.0
CA,aquifer,20230912,0.0
CA,aquifer,20231005,0.0
CA,aquifer,20231020,0.0
CA,aquifer,20231129,0.0
CA,aquifer,20231121,0.0
CA,aquifer,20231228,0.0
CA,aquifer,20231218,0.0
CA,depleted field,20230103,254171626.94490334
CA,depleted field,20230130,145480803.469594
CA,depleted field,20230213,144783633.3583157
CA,depleted field,20230216,68904964.24806288
CA,depleted field,20230306,68904964.24806288
CA,depleted field,20230315,68904964.24806288
CA,depleted field,20230403,68904964.24806288
CA,depleted field,20230410,68904964.24806288
CA,depleted field,20230530,71428109.09523073
CA,depleted field,20230517,111762370.73782825
CA,depleted field,20230630,111852827.56914844
CA,depleted field,20230615,123266942.36715335
CA,depleted field,20230727,128226871.5430668
CA,depleted field,20230710,176296064.09831893
CA,depleted field,20230803,181210353.77067736
CA,depleted field,20230831,330442799.4752128
CA,depleted field,20230906,334814116.0000001
CA,depleted field,20230912,334814116.0000001
CA,depleted field,20231005,334814116.0000001
CA,depleted field,20231020,334814116.0000001
CA,depleted field,20231129,332386609.82693255
CA,depleted field,20231121,277675755.5819327
CA,depleted field,20231228,276923817.8780089
CA,depleted field,20231218,256050865.35381278
CA,salt cavern,20230103,4.3655745685100555e-11
CA,salt cavern,20230130,0.0
CA,salt cavern,20230213,4.3655745685100555e-11
CA,salt cavern,20230216,0.0
CA,salt cavern,20230306,0.0
CA,salt cavern,20230315,0.0
CA,salt cavern,20230403,0.0
CA,salt cavern,20230410,0.0
CA,salt cavern,20230530,0.0
CA,salt cavern,20230517,0.0
CA,salt cavern,20230630,4.3655745685100555e-11
CA,salt cavern,20230615,0.0
CA,salt cavern,20230727,0.0
CA,salt cavern,20230710,0.0
CA,salt cavern,20230803,0.0
CA,salt cavern,20230831,0.0
CA,salt cavern,20230906,4.3655745685100555e-11
CA,salt cavern,20230912,4.3655745685100555e-11
CA,salt cavern,20231005,0.0
CA,salt cavern,20231020,4.3655745685100555e-11
CA,salt cavern,20231129,0.0
CA,salt cavern,20231121,0.0
CA,salt cavern,20231228,4.3655745685100555e-11
CA,salt cavern,20231218,4.3655745685100555e-11
CO,aquifer,20230103,0.0
CO,aquifer,20230130,0.0
CO,aquifer,20230213,0.0
CO,aquifer,20230216,0.0
CO,aquifer,20230306,0.0
CO,aquifer,20230315,0.0
CO,aquifer,20230403,0.0
CO,aquifer,20230410,0.0
CO,aquifer,20230530,0.0
CO,aquifer,20230517,0.0
CO,aquifer,20230630,0.0
CO,aquifer,20230615,0.0
CO,aquifer,20230727,0.0
CO,aquifer,20230710,0.0
CO,aquifer,20230803,0.0
CO,aquifer,20230831,0.0
CO,aquifer,20230906,0.0
CO,aquifer,20230912,0.0
CO,aquifer,20231005,0.0
CO,aquifer,20231020,0.0
CO,aquifer,20231129,0.0
CO,aquifer,20231121,0.0
CO,aquifer,20231228,0.0
CO,aquifer,20231218,0.0
CO,depleted field,20230103,2929521.5435329694
CO,depleted field,20230130,0.0
CO,depleted field,20230213,0.0
CO,depleted field,20230216,0.0
CO,depleted field,20230306,0.0
CO,depleted field,20230315,0.0
CO,depleted field,20230403,0.0
CO,depleted field,20230410,0.0
