generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,490.429,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,0,2195.6
BASN_batteries_1,202311,BASN,0,306.027,1889.57
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,0,2195.6
BASN_batteries_1,202312,BASN,0,935.8,1259.8
BASN_batteries_1,202312,BASN,0,935.8,1259.8
BASN_batteries_1,202312,BASN,0,935.8,1259.8
BASN_batteries_1,202312,BASN,0,935.8,1259.8
BASN_batteries_1,202312,BASN,0,935.8,1259.8
BASN_batteries_1,202312,BASN,0,935.8,1259.8
BASN_batteries_1,202312,BASN,0,935.8,953.773
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,0,2195.6
BASN_batteries_1,202313,BASN,0,45.4138,1214.39
BASN_batteries_1,202313,BASN,0,935.8,324
BASN_batteries_1,202313,BASN,0,935.8,324
BASN_batteries_1,202313,BASN,0,774.551,485.249
BASN_batteries_1,202313,BASN,0,324,935.8
BASN_batteries_1,202313,BASN,0,324,935.8
BASN_batteries_1,202313,BASN,0,935.8,17.9732
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,0,2195.6
BASN_batteries_1,202314,BASN,0,935.8,278.586
BASN_batteries_1,202314,BASN,0,0,324
BASN_batteries_1,202314,BASN,0,0,324
BASN_batteries_1,202314,BASN,0,0,485.249
BASN_batteries_1,202314,BASN,0,935.8,0
BASN_batteries_1,202314,BASN,0,935.8,0
BASN_batteries_1,202314,BASN,0,17.9732,0
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,0,2195.6
BASN_batteries_1,202315,BASN,0,278.586,0
BASN_batteries_1,202315,BASN,0,324,0
BASN_batteries_1,202315,BASN,0,324,0
BASN_batteries_1,202315,BASN,0,485.249,0
BASN_batteries_1,202315,BASN,0,0,0
BASN_batteries_1,202315,BASN,0,0,0
BASN_batteries_1,202315,BASN,0,0,0
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,2195.6
BASN_batteries_1,202316,BASN,0,0,0
BASN_batteries_1,202316,BASN,0,0,0
BASN_batteries_1,202316,BASN,0,0,0
BASN_batteries_1,202316,BASN,0,0,0
BASN_batteries_1,202316,BASN,0,0,0
BASN_batteries_1,202316,BASN,0,0,0
BASN_batteries_1,202316,BASN,0,0,0
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
BASN_batteries_1,202317,BASN,0,0,2195.6
