GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
PJMW_oh_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJMW,Naturalgas,1875,.,0
PJMW_oh_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJMW,Naturalgas,.,.,.
PJMW_pa_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJMW,Naturalgas,.,.,.
PJMW_pa_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJMW,Naturalgas,.,.,.
PJMW_va_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJMW,Naturalgas,.,.,.
PJMW_in_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJMW,Naturalgas,.,.,.
PJMW_in_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,PJMW,Naturalgas,.,.,.
PJMW_in_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,PJMW,Naturalgas,.,.,.
PJMW_ky_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJMW,Naturalgas,.,.,.
PJMW_ky_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,PJMW,Naturalgas,.,.,.
PJMW_ky_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,PJMW,Naturalgas,.,.,.
PJMW_oh_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJMW,Naturalgas,.,.,.
PJMW_oh_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,PJMW,Naturalgas,.,.,.
PJMW_pa_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJMW,Naturalgas,.,.,.
PJMW_pa_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,PJMW,Naturalgas,.,.,.
