generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
CANO_ca_natural_gas_fired_combustion_turbine_2,CANO_ca_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,CANO,Naturalgas,2023,0.0,0.0,0.0,2426.8000000000006,0.0,32548241.6,0.0,0.0,,
CANO_ca_natural_gas_internal_combustion_engine_1,CANO_ca_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,CANO,Naturalgas,2023,51.84752370139552,309840.80163953966,24803.282942085956,444.40000000000003,0.0,10665600.0,211.68688527633822,0.01331831818856211,,
CANO_ca_natural_gas_steam_turbine_1,CANO_ca_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,CANO,Naturalgas,2023,0.6174590099999999,652.03671456,301.741474400226,2.9,0.0,148778.69999999998,242.00916059927607,0.024305555555555556,,
CANO_conventional_hydroelectric_1,CANO_conventional_hydroelectric_1,Conventional Hydroelectric,CANO,Water,2023,19282.207599073183,0.0,0.0,7325.999999999999,0.0,344673648.0,17.875217151824828,0.3004590279555698,,
CANO_distributed_generation_1,CANO_distributed_generation_1,distributed_generation,CANO,Solar,2023,8072.6341885326,0.0,0.0,3582.0,0.0,0.0,0.0,0.2572676083939452,,
CANO_hydroelectric_pumped_storage_1,CANO_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,CANO,Electricity,2023,0.0,0.0,0.0,2276.9,0.0,107123591.2,0.0,0.0,0.0,0.0
CANO_nuclear_1,CANO_nuclear_1,Nuclear,CANO,Uranium,2023,19622.421504,48467381.114879996,0.0,2240.0,0.0,432936000.0,24.53333198538961,1.0,,
CANO_onshore_wind_turbine_1,CANO_onshore_wind_turbine_1,Onshore Wind Turbine,CANO,Wind,2023,3096.1794180911998,0.0,0.0,1442.0,0.0,43692600.0,14.111779099331578,0.24510731741663844,,
CANO_petroleum_liquids_1,CANO_petroleum_liquids_1,Petroleum Liquids,CANO,Distillate,2023,0.0,0.0,0.0,177.29999999999998,0.0,4255200.0,0.0,0.0,,
CANO_small_hydroelectric_1,CANO_small_hydroelectric_1,Small Hydroelectric,CANO,Water,2023,2102.3392319308805,0.0,0.0,664.8,0.0,31277510.4,14.87748024911915,0.3610000000000001,,
CANO_solar_photovoltaic_1,CANO_solar_photovoltaic_1,Solar Photovoltaic,CANO,Solar,2023,12260.326054034267,0.0,0.0,5278.0,0.0,118902783.99999999,9.698174703997775,0.2651722368303,,
CASO_batteries_1,CASO_batteries_1,Batteries,CASO,Electricity,2023,-124.77933482000515,103137.91893716062,0.0,6682.4,0.0,49957622.39999999,72.80653056821605,0.011746001572069382,812.3654610677424,687.5861262477374
CASO_biomass_1,CASO_biomass_1,Biomass,CASO,Waste_biomass,2023,1201.4580926649596,4733744.885099939,0.0,310.3,0.0,48785366.0,44.545133294153395,0.4419999999999999,,
CASO_biomass_2,CASO_biomass_2,Biomass,CASO,Waste_biomass,2023,208.30952428415995,1462332.8604748028,0.0,53.79999999999999,0.0,8458436.0,47.62513329415341,0.442,,
CASO_ca_natural_gas_fired_combined_cycle_1,CASO_ca_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,CASO,Naturalgas,2023,2473.4406319962022,11256628.316214718,1268179.4632395222,2250.9000000000005,0.0,37121842.8,19.55918023274755,0.12544134661606193,,
CASO_ca_natural_gas_fired_combined_cycle_2,CASO_ca_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,CASO,Naturalgas,2023,50697.353309869875,182662563.97546118,19957121.62276636,7481.6,0.0,76047366.6176,5.103026365336806,0.7735461341136741,,
CASO_ca_natural_gas_fired_combustion_turbine_1,CASO_ca_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,CASO,Naturalgas,2023,196.58104291231476,1336751.0918037405,114381.8514415461,1926.1000000000001,0.0,25832853.200000003,138.21070378552616,0.011650866378037843,,
CASO_ca_natural_gas_fired_combustion_turbine_2,CASO_ca_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,CASO,Naturalgas,2023,1331.8787246256393,9056775.327454347,762453.0750528583,4877.4,0.0,47384657.9778,42.377306778527256,0.03117250659771469,,
CASO_ca_natural_gas_internal_combustion_engine_1,CASO_ca_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,CASO,Naturalgas,2023,119.87354886,685436.95238148,54871.95156516757,50.2,0.0,1204800.0,15.768590905647441,0.2725932286649549,,
