load_zone,period,Batteries,Biomass,Conventional Hydroelectric,Conventional Steam Coal,Geothermal,Hydroelectric Pumped Storage,Natural Gas Fired Combined Cycle,Natural Gas Fired Combustion Turbine,Natural Gas Internal Combustion Engine,Natural Gas Steam Turbine,Nuclear,Offshore Wind Turbine,Onshore Wind Turbine,Petroleum Liquids,Small Hydroelectric,Solar Photovoltaic,distributed_generation,UnservedLoad,TXPowerNet
PJME,2023,125.83412537429759,2520.821405245206,3602.5103104339346,98.84393476036992,0.0,2367.6231612509587,193982.28843939156,4888.280557105856,1437.88866080088,1195.333766280666,112385.66710463398,0.0,2796.9719457340157,1.927649178969203e-05,682.9522483681561,4323.383566715414,8104.573370049563,1.2930193385462577e-06,-39343.1377249619
PJMW,2023,140.42541704874827,329.82302618122134,2354.352534241473,2818.8424912570817,0.0,363.271369848317,166190.0243421603,33156.75253133616,526.1688903602738,487.4538139482986,55415.82068381263,0.0,7951.913420439527,2.683324646397939e-05,1586.2415142758437,5059.509054028459,1397.260490860943,1.3009040560971456e-06,38554.19779351081
RMRG,2023,157.81269087342275,84.07760820881812,1778.0958776292161,96.04039105822805,0.0,106.83561407314295,29462.44635529113,3914.192633802504,1449.441912731241,104.38563860177956,0.0,0.0,25872.71522237911,2.9320746787903652e-05,920.7260649599699,5359.267342745775,1431.2647320259982,1.3021426385528498e-06,12133.680353804082
SPPC,2023,3.5654819113568363,101.86131771674557,63.65748973383641,1943.33509956227,0.0,0.0,13986.351953234538,7429.338678831825,1186.209165841255,347.8400897848202,10920.08308696027,0.0,24643.239295342122,2.096614240569715e-05,187.46420538064183,217.9819770505675,281.4742246100927,1.3014989017751894e-06,17681.83641796822
SPPN,2023,8.898386518250005,169.9440937835762,9842.773375694405,145.9968836883699,0.0,0.0,4858.3756412355915,9647.263859289602,1852.9683449916529,1243.3798083524412,6745.207347281072,0.0,19064.960374454542,3.404016135053234e-05,543.6549557247185,295.6654133657187,244.38588613393773,1.302352746438476e-06,-5212.116008459996
SPPS,2023,40.814557404153604,258.5560690641017,2927.7757280057644,0.00013265075819490188,0.0,1037.5000874457987,69494.44467851522,8828.52185001364,2077.4318963857854,4642.2772259389685,0.0,0.0,56340.106333377706,2.086612740936552e-05,343.8005927197683,848.4361336686461,645.2200549929851,1.2964101957905897e-06,-24990.303473920376
SRCA,2023,238.4935771689266,1109.985083324473,2446.2899881325807,119.96573001385528,0.0,4590.702365619779,80289.64537509796,15395.212892659718,0.0,2391.2298468505587,106054.80817412444,0.0,0.0,2.5382941719825518e-05,313.2579432464068,14891.304400653089,2701.558463818353,1.2977627103057595e-06,2262.3270932700393
SRCE,2023,161.03486334038485,308.6588157052885,15708.58901845026,0.00016473039642742336,0.0,2333.863731610224,98168.47467083114,9855.894906115673,16.634495800693326,367.728093886203,73858.26889091365,0.0,16.2152338152309,1.9632435693028335e-05,401.78309624339204,3042.3386127574745,360.6099059141581,1.2978438618366698e-06,17901.4323246491
SRSE,2023,90.42031843535221,2615.4847030026044,5433.814141107463,0.00013364664756431685,0.0,2719.9632496349604,174267.65868854645,8209.636720916229,76.14364540079956,34.855777628089506,61022.2268162142,0.0,0.0,1.680334872547977e-05,239.30594219820873,12191.626452026709,343.5100905959055,1.293025837826806e-06,-16039.233668394081
SRSG,2023,489.0401924460362,310.507188123213,7020.7627733098,0.000179133184158007,1650.0126273586511,43.3173565929572,100059.18728231713,3057.2082980097953,350.52141620634706,135.4628880485988,35066.31837631175,0.0,12729.445722452641,2.1806679867593705e-05,718.369843179044,17163.06681514596,3431.4904348612586,1.2951206064459712e-06,-49253.29651958655
