gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Natural Gas Fired Combined Cycle,NWPP,Naturalgas,2023,25670.468306294824,107056899.31000413,10357113.235874232,6915.200000000001,0.0,94607683.28240001,7.855898076582912,0.42376439510239094,0.0,0.0
Natural Gas Fired Combined Cycle,NYCW,Naturalgas,2023,36524.28886573966,144271452.6317552,15539689.191973882,4333.0,0.0,52495414.865600005,5.387288119986521,0.9622512806350118,0.0,0.0
Natural Gas Fired Combined Cycle,NYUP,Naturalgas,2023,45071.785159506064,162147405.42871773,17217812.68889156,8402.6,0.0,103521934.6137,5.894360276661587,0.6123313397916387,0.0,0.0
Natural Gas Fired Combined Cycle,PJMC,Naturalgas,2023,41629.02100868682,148907877.33765063,15141042.520357227,5038.4,0.0,59874628.9382,5.01531146342076,0.9431895324250368,0.0,0.0
Natural Gas Fired Combined Cycle,PJMD,Naturalgas,2023,66765.51599589745,245548923.93456537,25295204.666655973,7901.3,0.0,94212854.9786,5.08888119630563,0.9646040390366502,0.0,0.0
Natural Gas Fired Combined Cycle,PJME,Naturalgas,2023,193982.29163399877,709203440.954904,76396521.87433723,28306.6,0.0,330434498.97249997,5.359447664887723,0.7822936329695478,0.0,0.0
Natural Gas Fired Combined Cycle,PJMW,Naturalgas,2023,166190.02565797197,602592741.8458611,60158749.63829774,19331.4,0.0,220749091.3688,4.95421930380553,0.9813796892922408,0.0,0.0
Natural Gas Fired Combined Cycle,RMRG,Naturalgas,2023,29462.44617523273,117985322.90156414,12766336.866534911,3561.5,0.0,45627983.0,5.553283149961384,0.9443462744859524,0.0,0.0
Natural Gas Fired Combined Cycle,SPPC,Naturalgas,2023,13986.36113074639,54981237.70755832,5765706.965577699,1872.9999999999998,0.0,22419759.464,5.534033938349179,0.8524371690987369,0.0,0.0
Natural Gas Fired Combined Cycle,SPPN,Naturalgas,2023,4858.376570174973,22110471.7708663,2086819.133193838,644.6,0.0,10630743.2,6.739126639927614,0.860391854977231,0.0,0.0
Natural Gas Fired Combined Cycle,SPPS,Naturalgas,2023,69494.43718192818,264556452.0656471,27838417.076551136,9527.6,0.0,119330455.8856,5.523994775959934,0.8326489604501626,0.0,0.0
Natural Gas Fired Combined Cycle,SRCA,Naturalgas,2023,80289.64110379422,292817769.54091895,30255239.6947402,9673.2,0.0,105020934.578,4.955043996330909,0.9475121056024447,0.0,0.0
Natural Gas Fired Combined Cycle,SRCE,Naturalgas,2023,98168.4885289153,353454349.67822045,37181320.530704856,11514.6,0.0,118480974.7,4.807401350986604,0.9732371234067178,0.0,0.0
Natural Gas Fired Combined Cycle,SRSE,Naturalgas,2023,174267.66738888726,628250708.877054,65083248.006339304,21559.399999999998,0.0,253411534.8062,5.0592416648108305,0.9227319654296031,0.0,0.0
Natural Gas Fired Combined Cycle,SRSG,Naturalgas,2023,100059.18050378202,365761579.0087969,40047391.83523582,12413.399999999998,0.0,136842574.1496,5.023068854130775,0.9201563118785189,0.0,0.0
Natural Gas Fired Combined Cycle,TRE,Naturalgas,2023,223151.1427204182,805951406.8796939,94466299.84006691,38201.8,0.0,445696619.93499994,5.608969828950684,0.6668232078914947,0.0,0.0
Natural Gas Fired Combined Cycle,TREW,Naturalgas,2023,13992.394733444113,51207511.73245322,5381814.374539181,2127.8999999999996,0.0,25122182.144,5.455084374800602,0.7506478614588883,0.0,0.0
Natural Gas Fired Combustion Turbine,BASN,Naturalgas,2023,189.862384651656,1291064.2156312605,110479.54240799867,2183.0,0.0,23242493.0,129.21757651281703,0.009928430806309303,0.0,0.0
