GAS_ZONES,TIMESERIES,gas_import_ref_quantity,gas_export_ref_quantity
MN,20231228,1718759.67741935,8137.09677419355
MN,20230213,1217443.75,15098.9642857143
MN,20230216,1217443.75,15098.9642857143
MN,20230315,1002383.87096774,10545.6774193548
MN,20230306,1002383.87096774,10545.6774193548
MN,20230403,1064291.66666667,12377.0666666667
MN,20230410,1064291.66666667,12377.0666666667
MN,20230530,1276389.51612903,14972.2580645161
MN,20230517,1276389.51612903,14972.2580645161
MN,20230630,1237892.5,11738.0333333333
MN,20230615,1237892.5,11738.0333333333
MN,20230710,1443034.67741935,5858.70967741936
MN,20230727,1443034.67741935,5858.70967741936
MN,20230831,1276091.93548387,6477.12903225806
MN,20230803,1276091.93548387,6477.12903225806
MN,20230912,1339743.33333333,6255.8
MN,20230906,1339743.33333333,6255.8
MT,20230130,801946.774193548,0.0
MT,20230103,801946.774193548,0.0
MT,20231020,575190.322580645,0.0
MT,20231005,575190.322580645,0.0
MT,20231129,499140.833333333,0.0
MT,20231121,499140.833333333,0.0
MT,20231218,506713.709677419,0.0
MT,20231228,506713.709677419,0.0
MT,20230213,604200.892857143,0.0
MT,20230216,604200.892857143,0.0
MT,20230315,525789.838709677,0.0
MT,20230306,525789.838709677,0.0
MT,20230403,491829.166666667,0.0
MT,20230410,491829.166666667,0.0
MT,20230530,588779.838709677,0.0
MT,20230517,588779.838709677,0.0
MT,20230630,613394.166666667,0.0
MT,20230615,613394.166666667,0.0
MT,20230727,592020.161290323,0.0
MT,20230710,592020.161290323,0.0
MT,20230831,498282.258064516,0.0
MT,20230803,498282.258064516,0.0
MT,20230912,469176.666666667,0.0
MT,20230906,469176.666666667,0.0
ND,20230130,1406961.29032258,1432.12903225806
ND,20230103,1406961.29032258,1432.12903225806
ND,20231020,1230826.61290323,1334.48387096774
ND,20231005,1230826.61290323,1334.48387096774
ND,20231129,1394307.5,1009.0
ND,20231121,1394307.5,1009.0
ND,20231218,1415690.32258065,585.870967741935
ND,20231228,1415690.32258065,585.870967741935
ND,20230213,1349815.17857143,1513.5
ND,20230216,1349815.17857143,1513.5
ND,20230315,1349561.29032258,1627.41935483871
ND,20230306,1349561.29032258,1627.41935483871
ND,20230403,1203930.83333333,1547.13333333333
ND,20230410,1203930.83333333,1547.13333333333
ND,20230517,1170847.58064516,1204.29032258065
ND,20230530,1170847.58064516,1204.29032258065
ND,20230615,1185310.0,1513.5
ND,20230630,1185310.0,1513.5
ND,20230727,1333095.16129032,1367.03225806452
ND,20230710,1333095.16129032,1367.03225806452
ND,20230831,1325093.5483871,1497.22580645161
ND,20230803,1325093.5483871,1497.22580645161
ND,20230912,1207142.5,1109.9
ND,20230906,1207142.5,1109.9
NH,20230130,355873.387096774,0.0
NH,20230103,355873.387096774,0.0
NH,20231005,232708.064516129,195.290322580645
NH,20231020,232708.064516129,195.290322580645
NH,20231129,350550.0,0.0
NH,20231121,350550.0,0.0
NH,20231218,378886.290322581,162.741935483871
NH,20231228,378886.290322581,162.741935483871
NH,20230216,352160.714285714,0.0
NH,20230213,352160.714285714,0.0
NH,20230315,345557.258064516,0.0
NH,20230306,345557.258064516,0.0
NH,20230403,325403.333333333,0.0
NH,20230410,325403.333333333,0.0
NH,20230517,255555.64516129,292.935483870968
NH,20230530,255555.64516129,292.935483870968
NH,20230615,304151.666666667,840.833333333333
NH,20230630,304151.666666667,840.833333333333
NH,20230710,350682.258064516,1562.32258064516
NH,20230727,350682.258064516,1562.32258064516
NH,20230803,273972.580645161,1171.74193548387
NH,20230831,273972.580645161,1171.74193548387
NH,20230912,274836.666666667,773.566666666667
NH,20230906,274836.666666667,773.566666666667
NY,20230130,770766.935483871,858073.129032258
NY,20230103,770766.935483871,858073.129032258
NY,20231005,172662.903225806,800006.806451613
NY,20231020,172662.903225806,800006.806451613
NY,20231129,689312.5,804139.366666667
NY,20231121,689312.5,804139.366666667
NY,20231218,680236.290322581,853321.064516129
NY,20231228,680236.290322581,853321.064516129
NY,20230216,746932.142857143,830154.75
NY,20230213,746932.142857143,830154.75
NY,20230315,581175.0,791023.451612903
NY,20230306,581175.0,791023.451612903
NY,20230403,210227.5,800406.066666667
NY,20230410,210227.5,800406.066666667
NY,20230530,107228.225806452,815857.870967742
NY,20230517,107228.225806452,815857.870967742
NY,20230630,444440.0,823041.3
NY,20230615,444440.0,823041.3
NY,20230710,582629.838709677,819145.258064516
NY,20230727,582629.838709677,819145.258064516
NY,20230831,305549.193548387,843524.0
NY,20230803,305549.193548387,843524.0
NY,20230912,270873.333333333,807233.633333333
NY,20230906,270873.333333333,807233.633333333
TX,20230130,661.290322580645,4986250.16129032
TX,20230103,661.290322580645,4986250.16129032
TX,20231005,760.483870967742,5916483.06451613
TX,20231020,760.483870967742,5916483.06451613
TX,20231121,717.5,5485663.93333333
TX,20231129,717.5,5485663.93333333
TX,20231218,727.41935483871,5219980.12903226
TX,20231228,727.41935483871,5219980.12903226
TX,20230216,585.714285714286,5068495.28571429
TX,20230213,585.714285714286,5068495.28571429
TX,20230315,793.548387096774,5329830.93548387
TX,20230306,793.548387096774,5329830.93548387
TX,20230403,785.833333333333,5276599.13333333
TX,20230410,785.833333333333,5276599.13333333
TX,20230530,760.483870967742,5772130.96774194
TX,20230517,760.483870967742,5772130.96774194
TX,20230630,717.5,6333627.53333333
TX,20230615,717.5,6333627.53333333
TX,20230727,727.41935483871,6133776.09677419
TX,20230710,727.41935483871,6133776.09677419
TX,20230831,727.41935483871,6261788.90322581
TX,20230803,727.41935483871,6261788.90322581
TX,20230912,717.5,6228926.96666667
TX,20230906,717.5,6228926.96666667
VT,20230130,55151.6129032258,0.0
VT,20230103,55151.6129032258,0.0
VT,20231005,27311.2903225806,0.0
VT,20231020,27311.2903225806,0.0
VT,20231121,45339.1666666667,0.0
VT,20231129,45339.1666666667,0.0
VT,20231218,50489.5161290323,0.0
VT,20231228,50489.5161290323,0.0
VT,20230213,58388.3928571429,0.0
VT,20230216,58388.3928571429,0.0
VT,20230315,50324.1935483871,0.0
VT,20230306,50324.1935483871,0.0
VT,20230403,33517.5,0.0
VT,20230410,33517.5,0.0
VT,20230517,22682.2580645161,0.0
VT,20230530,22682.2580645161,0.0
VT,20230615,18074.1666666667,0.0
VT,20230630,18074.1666666667,0.0
VT,20230727,20433.8709677419,0.0
VT,20230710,20433.8709677419,0.0
VT,20230831,19739.5161290323,0.0
VT,20230803,19739.5161290323,0.0
VT,20230912,21149.1666666667,0.0
VT,20230906,21149.1666666667,0.0
WA,20230130,1400745.16129032,6054.0
WA,20230103,1400745.16129032,6054.0
WA,20231005,1175112.90322581,17022.8064516129
WA,20231020,1175112.90322581,17022.8064516129
WA,20231121,1448837.5,4506.86666666667
WA,20231129,1448837.5,4506.86666666667
WA,20231228,1430635.48387097,2994.45161290323
WA,20231218,1430635.48387097,2994.45161290323
WA,20230216,1387923.21428571,16576.4285714286
WA,20230213,1387923.21428571,16576.4285714286
WA,20230315,1455797.58064516,10024.9032258065
WA,20230306,1455797.58064516,10024.9032258065
WA,20230403,1279131.66666667,27612.9666666667
WA,20230410,1279131.66666667,27612.9666666667
WA,20230517,1156960.48387097,683.516129032258
WA,20230530,1156960.48387097,683.516129032258
WA,20230615,1142670.0,7163.9
WA,20230630,1142670.0,7163.9
WA,20230710,1147735.48387097,2896.8064516129
WA,20230727,1147735.48387097,2896.8064516129
WA,20230803,1204507.25806452,46283.8064516129
WA,20230831,1204507.25806452,46283.8064516129
WA,20230912,1197370.83333333,2219.8
WA,20230906,1197370.83333333,2219.8
