timestamp,time_row,timeseries,time_column
2023_p276_17,2023,2023_p276,2012p276
2023_p276_18,2023,2023_p276,2012p276
2023_p276_19,2023,2023_p276,2012p276
2023_p276_20,2023,2023_p276,2012p276
2023_p276_21,2023,2023_p276,2012p276
2023_p276_22,2023,2023_p276,2012p276
2023_p276_23,2023,2023_p276,2012p276
2023_p277_0,2023,2023_p277,2012p277
2023_p277_1,2023,2023_p277,2012p277
2023_p277_2,2023,2023_p277,2012p277
2023_p277_3,2023,2023_p277,2012p277
2023_p277_4,2023,2023_p277,2012p277
2023_p277_5,2023,2023_p277,2012p277
2023_p277_6,2023,2023_p277,2012p277
2023_p277_7,2023,2023_p277,2012p277
2023_p277_8,2023,2023_p277,2012p277
2023_p277_9,2023,2023_p277,2012p277
2023_p277_10,2023,2023_p277,2012p277
2023_p277_11,2023,2023_p277,2012p277
2023_p277_12,2023,2023_p277,2012p277
2023_p277_13,2023,2023_p277,2012p277
2023_p277_14,2023,2023_p277,2012p277
2023_p277_15,2023,2023_p277,2012p277
2023_p277_16,2023,2023_p277,2012p277
2023_p277_17,2023,2023_p277,2012p277
2023_p277_18,2023,2023_p277,2012p277
2023_p277_19,2023,2023_p277,2012p277
2023_p277_20,2023,2023_p277,2012p277
2023_p277_21,2023,2023_p277,2012p277
2023_p277_22,2023,2023_p277,2012p277
2023_p277_23,2023,2023_p277,2012p277
2023_p278_0,2023,2023_p278,2012p278
2023_p278_1,2023,2023_p278,2012p278
2023_p278_2,2023,2023_p278,2012p278
2023_p278_3,2023,2023_p278,2012p278
2023_p278_4,2023,2023_p278,2012p278
2023_p278_5,2023,2023_p278,2012p278
2023_p278_6,2023,2023_p278,2012p278
2023_p278_7,2023,2023_p278,2012p278
2023_p278_8,2023,2023_p278,2012p278
2023_p278_9,2023,2023_p278,2012p278
2023_p278_10,2023,2023_p278,2012p278
2023_p278_11,2023,2023_p278,2012p278
2023_p278_12,2023,2023_p278,2012p278
2023_p278_13,2023,2023_p278,2012p278
2023_p278_14,2023,2023_p278,2012p278
2023_p278_15,2023,2023_p278,2012p278
2023_p278_16,2023,2023_p278,2012p278
2023_p278_17,2023,2023_p278,2012p278
2023_p278_18,2023,2023_p278,2012p278
2023_p278_19,2023,2023_p278,2012p278
2023_p278_20,2023,2023_p278,2012p278
2023_p278_21,2023,2023_p278,2012p278
2023_p278_22,2023,2023_p278,2012p278
2023_p278_23,2023,2023_p278,2012p278
2023_p279_0,2023,2023_p279,2012p279
2023_p279_1,2023,2023_p279,2012p279
2023_p279_2,2023,2023_p279,2012p279
2023_p279_3,2023,2023_p279,2012p279
2023_p279_4,2023,2023_p279,2012p279
2023_p279_5,2023,2023_p279,2012p279
2023_p279_6,2023,2023_p279,2012p279
