timepoint_id,timestamp,timeseries,tp_date
308,202312,20231020,20231020
309,202312,20231129,20231129
310,202312,20231121,20231121
311,202312,20231228,20231228
312,202312,20231218,20231218
313,202313,20230103,20230103
314,202313,20230130,20230130
315,202313,20230213,20230213
316,202313,20230216,20230216
317,202313,20230306,20230306
318,202313,20230315,20230315
319,202313,20230403,20230403
320,202313,20230410,20230410
321,202313,20230530,20230530
322,202313,20230517,20230517
323,202313,20230630,20230630
324,202313,20230615,20230615
325,202313,20230727,20230727
326,202313,20230710,20230710
327,202313,20230803,20230803
328,202313,20230831,20230831
329,202313,20230906,20230906
330,202313,20230912,20230912
331,202313,20231005,20231005
332,202313,20231020,20231020
333,202313,20231129,20231129
334,202313,20231121,20231121
335,202313,20231228,20231228
336,202313,20231218,20231218
337,202314,20230103,20230103
338,202314,20230130,20230130
339,202314,20230213,20230213
340,202314,20230216,20230216
341,202314,20230306,20230306
342,202314,20230315,20230315
343,202314,20230403,20230403
344,202314,20230410,20230410
345,202314,20230530,20230530
346,202314,20230517,20230517
347,202314,20230630,20230630
348,202314,20230615,20230615
349,202314,20230727,20230727
350,202314,20230710,20230710
351,202314,20230803,20230803
352,202314,20230831,20230831
353,202314,20230906,20230906
354,202314,20230912,20230912
355,202314,20231005,20231005
356,202314,20231020,20231020
357,202314,20231129,20231129
358,202314,20231121,20231121
359,202314,20231228,20231228
360,202314,20231218,20231218
361,202315,20230103,20230103
362,202315,20230130,20230130
363,202315,20230213,20230213
364,202315,20230216,20230216
365,202315,20230306,20230306
366,202315,20230315,20230315
367,202315,20230403,20230403
368,202315,20230410,20230410
369,202315,20230530,20230530
370,202315,20230517,20230517
371,202315,20230630,20230630
372,202315,20230615,20230615
373,202315,20230727,20230727
374,202315,20230710,20230710
375,202315,20230803,20230803
376,202315,20230831,20230831
377,202315,20230906,20230906
378,202315,20230912,20230912
379,202315,20231005,20231005
380,202315,20231020,20231020
381,202315,20231129,20231129
382,202315,20231121,20231121
383,202315,20231228,20231228
384,202315,20231218,20231218
385,202316,20230103,20230103
386,202316,20230130,20230130
387,202316,20230213,20230213
388,202316,20230216,20230216
389,202316,20230306,20230306
390,202316,20230315,20230315
391,202316,20230403,20230403
392,202316,20230410,20230410
393,202316,20230530,20230530
394,202316,20230517,20230517
395,202316,20230630,20230630
396,202316,20230615,20230615
397,202316,20230727,20230727
398,202316,20230710,20230710
399,202316,20230803,20230803
400,202316,20230831,20230831
401,202316,20230906,20230906
402,202316,20230912,20230912
403,202316,20231005,20231005
404,202316,20231020,20231020
405,202316,20231129,20231129
406,202316,20231121,20231121
407,202316,20231228,20231228
408,202316,20231218,20231218
409,202317,20230103,20230103
410,202317,20230130,20230130
411,202317,20230213,20230213
412,202317,20230216,20230216
413,202317,20230306,20230306
414,202317,20230315,20230315
415,202317,20230403,20230403
416,202317,20230410,20230410
417,202317,20230530,20230530
418,202317,20230517,20230517
419,202317,20230630,20230630
420,202317,20230615,20230615
421,202317,20230727,20230727
422,202317,20230710,20230710
423,202317,20230803,20230803
424,202317,20230831,20230831
425,202317,20230906,20230906
426,202317,20230912,20230912
427,202317,20231005,20231005
428,202317,20231020,20231020
429,202317,20231129,20231129
430,202317,20231121,20231121
431,202317,20231228,20231228
432,202317,20231218,20231218
433,202318,20230103,20230103
434,202318,20230130,20230130
435,202318,20230213,20230213
436,202318,20230216,20230216
437,202318,20230306,20230306
438,202318,20230315,20230315
439,202318,20230403,20230403
440,202318,20230410,20230410
441,202318,20230530,20230530
442,202318,20230517,20230517
443,202318,20230630,20230630
444,202318,20230615,20230615
445,202318,20230727,20230727
446,202318,20230710,20230710
447,202318,20230803,20230803
448,202318,20230831,20230831
449,202318,20230906,20230906
450,202318,20230912,20230912
451,202318,20231005,20231005
452,202318,20231020,20231020
453,202318,20231129,20231129
454,202318,20231121,20231121
455,202318,20231228,20231228
456,202318,20231218,20231218
457,202319,20230103,20230103
458,202319,20230130,20230130
459,202319,20230213,20230213
460,202319,20230216,20230216
461,202319,20230306,20230306
462,202319,20230315,20230315
463,202319,20230403,20230403
464,202319,20230410,20230410
465,202319,20230530,20230530
466,202319,20230517,20230517
467,202319,20230630,20230630
468,202319,20230615,20230615
469,202319,20230727,20230727
470,202319,20230710,20230710
471,202319,20230803,20230803
472,202319,20230831,20230831
473,202319,20230906,20230906
474,202319,20230912,20230912
475,202319,20231005,20231005
476,202319,20231020,20231020
477,202319,20231129,20231129
478,202319,20231121,20231121
479,202319,20231228,20231228
480,202319,20231218,20231218
481,202320,20230103,20230103
482,202320,20230130,20230130
483,202320,20230213,20230213
484,202320,20230216,20230216
485,202320,20230306,20230306
486,202320,20230315,20230315
487,202320,20230403,20230403
488,202320,20230410,20230410
489,202320,20230530,20230530
490,202320,20230517,20230517
491,202320,20230630,20230630
492,202320,20230615,20230615
493,202320,20230727,20230727
494,202320,20230710,20230710
495,202320,20230803,20230803
496,202320,20230831,20230831
497,202320,20230906,20230906
498,202320,20230912,20230912
499,202320,20231005,20231005
500,202320,20231020,20231020
501,202320,20231129,20231129
502,202320,20231121,20231121
503,202320,20231228,20231228
504,202320,20231218,20231218
505,202321,20230103,20230103
506,202321,20230130,20230130
507,202321,20230213,20230213
508,202321,20230216,20230216
509,202321,20230306,20230306
510,202321,20230315,20230315
511,202321,20230403,20230403
512,202321,20230410,20230410
513,202321,20230530,20230530
514,202321,20230517,20230517
515,202321,20230630,20230630
