GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_amortization_period,gen_can_retire_early,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_load_fraction,gen_ramp_limit_up,gen_ramp_limit_down,gen_min_uptime,gen_min_downtime,gen_startup_om,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_energy_to_power_ratio,gen_type,state
PJMD_offshorewind_class3_moderate_fixed_1_1,OffShoreWind_Class3_Moderate_fixed_1,Wind,PJMD,30.0,30.0,1,True,False,.,0.0,1257742.632,PJMD_offshorewind_class3_moderate_fixed_1_1,0.0,0.0,19658.338,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJMD_offshorewind_class12_moderate_floating_1_1,OffShoreWind_Class12_Moderate_floating_1,Wind,PJMD,30.0,30.0,1,True,False,.,0.0,1441303.295,PJMD_offshorewind_class12_moderate_floating_1_1,0.0,0.0,13899.826,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJMD_offshorewind_class3_moderate_fixed_0_1,OffShoreWind_Class3_Moderate_fixed_0,Wind,PJMD,30.0,30.0,1,True,False,.,0.0,1304364.624,PJMD_offshorewind_class3_moderate_fixed_0_1,0.0,0.0,96545.892,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJMD_offshorewind_class12_moderate_floating_0_1,OffShoreWind_Class12_Moderate_floating_0,Wind,PJMD,30.0,30.0,1,True,False,.,0.0,1542622.763,PJMD_offshorewind_class12_moderate_floating_0_1,0.0,0.0,92906.64,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJME_battery_moderate_0,Battery_*_Moderate,Electricity,PJME,15.0,15.0,1,False,False,.,0.15,0.0,PJME_battery_moderate_0,0.0,0.0,.,0.0,1.0,1.0,0.0,0.0,0.0,False,0.8464,1.0,1,.,.,.,.,Storage,.
PJME_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,Uranium,PJME,40.0,40.0,1,False,False,10.447,2.359,0.0,PJME_nuclear_nuclear_moderate_0,0.0,0.0,.,0.0,1.0,1.0,24.0,24.0,285.155,False,.,.,1,.,.,.,.,Nuclear,.
PJME_hydrogen_fframe_ct_moderate_0,Hydrogen_F-Frame CT_Moderate,Hydrogen,PJME,500.0,30.0,1,False,False,9.717,6.151,0.0,PJME_hydrogen_fframe_ct_moderate_0,0.0,0.0,.,0.0,3.78,3.78,1.0,1.0,137.375,False,.,.,1,.,.,.,.,Hydrogen,.
PJME_hydrogen_hframe_cc_moderate_0,Hydrogen_H-Frame CC_Moderate,Hydrogen,PJME,30.0,30.0,1,False,False,6.187,1.853,0.0,PJME_hydrogen_hframe_cc_moderate_0,0.0,0.0,.,0.0,0.64,0.64,6.0,6.0,105.947,False,.,.,1,.,.,.,.,Hydrogen,.
PJME_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,Wind,PJME,30.0,30.0,1,True,False,.,0.0,324299.361,PJME_landbasedwind_class3_moderate_0,0.0,0.0,6050.565,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJME_utilitypv_class1_moderate_0,UtilityPV_Class1_Moderate,Solar,PJME,30.0,30.0,1,True,False,.,0.0,231083.097,PJME_utilitypv_class1_moderate_0,0.0,0.0,85769.078,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Solar,.
PJME_offshorewind_class3_moderate_fixed_1_1,OffShoreWind_Class3_Moderate_fixed_1,Wind,PJME,30.0,30.0,1,True,False,.,0.0,1325679.779,PJME_offshorewind_class3_moderate_fixed_1_1,0.0,0.0,8565.465,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJME_offshorewind_class12_moderate_floating_1_1,OffShoreWind_Class12_Moderate_floating_1,Wind,PJME,30.0,30.0,1,True,False,.,0.0,1459763.907,PJME_offshorewind_class12_moderate_floating_1_1,0.0,0.0,628.941,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJME_offshorewind_class3_moderate_fixed_0_1,OffShoreWind_Class3_Moderate_fixed_0,Wind,PJME,30.0,30.0,1,True,False,.,0.0,1212560.435,PJME_offshorewind_class3_moderate_fixed_0_1,0.0,0.0,66730.825,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJME_offshorewind_class12_moderate_floating_0_1,OffShoreWind_Class12_Moderate_floating_0,Wind,PJME,30.0,30.0,1,True,False,.,0.0,1442828.855,PJME_offshorewind_class12_moderate_floating_0_1,0.0,0.0,45562.0,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJMW_battery_moderate_0,Battery_*_Moderate,Electricity,PJMW,15.0,15.0,1,False,False,.,0.15,0.0,PJMW_battery_moderate_0,0.0,0.0,.,0.0,1.0,1.0,0.0,0.0,0.0,False,0.8464,1.0,1,.,.,.,.,Storage,.
PJMW_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,Uranium,PJMW,40.0,40.0,1,False,False,10.447,2.359,0.0,PJMW_nuclear_nuclear_moderate_0,0.0,0.0,.,0.0,1.0,1.0,24.0,24.0,285.155,False,.,.,1,.,.,.,.,Nuclear,.
PJMW_hydrogen_fframe_ct_moderate_0,Hydrogen_F-Frame CT_Moderate,Hydrogen,PJMW,500.0,30.0,1,False,False,9.717,6.151,0.0,PJMW_hydrogen_fframe_ct_moderate_0,0.0,0.0,.,0.0,3.78,3.78,1.0,1.0,137.375,False,.,.,1,.,.,.,.,Hydrogen,.
PJMW_hydrogen_hframe_cc_moderate_0,Hydrogen_H-Frame CC_Moderate,Hydrogen,PJMW,30.0,30.0,1,False,False,6.187,1.853,0.0,PJMW_hydrogen_hframe_cc_moderate_0,0.0,0.0,.,0.0,0.64,0.64,6.0,6.0,105.947,False,.,.,1,.,.,.,.,Hydrogen,.
PJMW_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,Wind,PJMW,30.0,30.0,1,True,False,.,0.0,318381.752,PJMW_landbasedwind_class3_moderate_0,0.0,0.0,21966.457,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
